project_id,dimension,dimension_value,count,within_project_share
496817075,target_entity_type,PullRequestReview,7,0.0010864504112990843
496817075,target_entity_type,PullRequestReviewComment,13,0.002017693620984014
496817075,target_entity_type,Release,3,0.0004656216048424647
496817075,target_entity_type,Repo,586,0.09095142014589477
496817075,target_entity_type,Tag,1,0.0001552072016141549
507775,target_entity_type,Branch,5,0.00014783714260370776
507775,target_entity_type,Branch_Tag_GHDir,32,0.0009461577126637297
507775,target_entity_type,Commit,1530,0.04523816563673457
507775,target_entity_type,GitHub_Files_FileChanges,1918,0.0567103279027823
507775,target_entity_type,GitHub_GenSer_Other_Links,363,0.010732976553029183
507775,target_entity_type,Gollum,1,2.9567428520741552e-05
507775,target_entity_type,Issue,5669,0.16761775228408385
507775,target_entity_type,IssueComment,225,0.006652671417166849
507775,target_entity_type,PullRequest,23123,0.6836876496851069
507775,target_entity_type,PullRequestReview,15,0.0004435114278111233
507775,target_entity_type,PullRequestReviewComment,200,0.00591348570414831
507775,target_entity_type,Release,2,5.9134857041483104e-05
507775,target_entity_type,Repo,738,0.021820762248307264
50874442,target_entity_type,Branch,2,0.00015154959460483443
50874442,target_entity_type,Branch_Tag_GHDir,8,0.0006061983784193377
50874442,target_entity_type,Commit,3521,0.26680306130181103
50874442,target_entity_type,GitHub_Files_FileChanges,171,0.012957490338713344
50874442,target_entity_type,GitHub_GenSer_Other_Links,185,0.014018337500947185
50874442,target_entity_type,Issue,1471,0.11146472683185572
50874442,target_entity_type,IssueComment,25,0.0018943699325604305
50874442,target_entity_type,PullRequest,7631,0.5782374782147458
50874442,target_entity_type,PullRequestReview,23,0.001742820337955596
50874442,target_entity_type,PullRequestReviewComment,75,0.005683109797681291
50874442,target_entity_type,Repo,85,0.006440857770705463
510375115,target_entity_type,Branch_Tag_GHDir,1,0.000999000999000999
510375115,target_entity_type,Commit,12,0.011988011988011988
510375115,target_entity_type,GitHub_Files_FileChanges,145,0.14485514485514486
510375115,target_entity_type,GitHub_GenSer_Other_Links,129,0.12887112887112886
510375115,target_entity_type,Issue,90,0.0899100899100899
510375115,target_entity_type,IssueComment,10,0.00999000999000999
510375115,target_entity_type,PullRequest,366,0.36563436563436563
510375115,target_entity_type,Repo,248,0.24775224775224775
5349565,target_entity_type,Branch,1,0.00012413108242303873
5349565,target_entity_type,Branch_Tag_GHDir,39,0.004841112214498511
5349565,target_entity_type,Commit,2065,0.256330685203575
5349565,target_entity_type,GitHub_Files_FileChanges,467,0.05796921549155909
5349565,target_entity_type,GitHub_GenSer_Other_Links,366,0.04543197616683217
5349565,target_entity_type,Gollum,3138,0.38952333664349553
5349565,target_entity_type,Issue,419,0.052010923535253224
5349565,target_entity_type,IssueComment,26,0.003227408142999007
